				
2011			
Jalisco			
Tototlán	25.00	625.00	11,772.50
Tuxcueca	3.00	54.00	586.44
Tuxpan	630.70	5,756.96	75,947.45
Valle de Juárez	12.60	88.20	1,044.05
Villa Guerrero	0.00	0.00	0.00
Villa Purificación	60.00	246.00	3,111.90
Zacoalco de Torres	22.00	170.72	3,218.60
Zapopan	25.00	422.00	3,961.10
Zapotiltic	577.60	6,180.32	84,807.90
Zapotitlán de Vadillo	210.00	2,046.00	34,145.10
Zapotlanejo	0.00	0.00	0.00
Zapotlán el Grande	2,381.12	20,953.85	259,863.36
México			
Almoloya de Alquisiras	498.00	3,936.00	36,516.00
Amanalco	17.50	178.68	1,786.80
Amatepec	35.50	253.57	2,690.34
Atlautla	112.00	1,120.45	16,169.57
Coatepec Harinas	1,931.00	26,213.34	257,898.42
Donato Guerra	393.00	5,075.00	55,062.00
Ecatzingo	34.00	305.84	4,424.77
Ixtapan de La Sal	18.00	246.96	2,653.66
Ixtapan del Oro	134.00	1,391.60	14,972.00
Joquicingo	135.00	1,417.50	15,225.00
Luvianos	16.00	129.60	1,294.20
Malinalco	171.00	1,762.00	16,122.25
Ocuilan	210.00	1,602.00	21,994.67
Otzoloapan	3.00	19.50	195.00
Ozumba	40.00	369.50	5,394.18
San Simón de Guerrero	20.00	141.86	1,522.01
Santo Tomás	50.00	475.00	4,750.00
Sultepec	75.50	604.00	6,390.40
Tejupilco	48.00	336.00	3,752.00
Temascaltepec	388.00	2,962.40	42,284.02
Tenancingo	775.00	7,335.00	76,270.02
Tenango del Valle	15.00	150.00	1,589.63
Tepetlixpa	36.00	388.00	5,732.56
Texcaltitlán	8.00	94.50	1,026.46
Valle de Bravo	165.00	1,620.00	15,630.00
Villa Guerrero	221.00	2,725.58	29,841.40
Villa de Allende	280.00	3,970.00	44,840.00
Zacazonapan	1.50	15.00	150.00
Zacualpan	10.50	89.25	816.00
Michoacán			
Acuitzio	1,070.85	9,242.25	157,118.25
Aguililla	20.00	178.40	2,139.50
Apatzingán	385.82	2,897.51	39,932.01
Ario	11,445.00	128,058.50	1,782,663.96
Charapan	0.00	0.00	0.00
Charo	36.70	135.79	1,838.67
Chilchota	526.60	4,581.42	67,684.75
Coalcomán de Vázquez Pallares	200.00	2,362.00	27,742.19
Copándaro	2.00	6.00	78.00
Cotija	870.00	7,728.00	113,242.38
Erongarícuaro	415.00	5,104.50	71,848.49
Hidalgo	22.00	167.20	1,714.70
Huiramba	69.00	634.80	8,709.68
Irimbo	92.00	680.80	6,059.12
