entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
mexico,15095,2019,tepotzotlan,octubre,2.0,106,103696,9.85,1.9287147045209072
mexico,15096,2011,tequixquiac,octubre,0.0,10,39489,9.35,0.0
mexico,15096,2012,tequixquiac,octubre,1.0,22,39489,9.35,2.5323507812302157
mexico,15096,2013,tequixquiac,octubre,0.0,34,39489,9.35,0.0
mexico,15096,2014,tequixquiac,octubre,1.0,46,39489,9.35,2.5323507812302157
mexico,15096,2015,tequixquiac,octubre,1.0,58,39489,9.35,2.5323507812302157
mexico,15096,2016,tequixquiac,octubre,0.0,70,39489,9.35,0.0
mexico,15096,2017,tequixquiac,octubre,2.0,82,39489,9.35,5.0647015624604315
mexico,15096,2018,tequixquiac,octubre,0.0,94,39489,9.35,0.0
mexico,15096,2019,tequixquiac,octubre,0.0,106,39489,9.35,0.0
mexico,15097,2011,texcaltitlan,octubre,0.0,10,18482,8.32,0.0
mexico,15097,2012,texcaltitlan,octubre,0.0,22,18482,8.32,0.0
mexico,15097,2013,texcaltitlan,octubre,0.0,34,18482,8.32,0.0
mexico,15097,2014,texcaltitlan,octubre,0.0,46,18482,8.32,0.0
mexico,15097,2015,texcaltitlan,octubre,0.0,58,18482,8.32,0.0
mexico,15097,2016,texcaltitlan,octubre,1.0,70,18482,8.32,5.410669840926307
mexico,15097,2017,texcaltitlan,octubre,0.0,82,18482,8.32,0.0
mexico,15097,2018,texcaltitlan,octubre,0.0,94,18482,8.32,0.0
mexico,15097,2019,texcaltitlan,octubre,0.0,106,18482,8.32,0.0
mexico,15098,2011,texcalyacac,octubre,0.0,10,5736,10.09,0.0
mexico,15098,2012,texcalyacac,octubre,0.0,22,5736,10.09,0.0
mexico,15098,2013,texcalyacac,octubre,0.0,34,5736,10.09,0.0
mexico,15098,2014,texcalyacac,octubre,1.0,46,5736,10.09,17.433751743375172
mexico,15098,2015,texcalyacac,octubre,0.0,58,5736,10.09,0.0
mexico,15098,2016,texcalyacac,octubre,0.0,70,5736,10.09,0.0
mexico,15098,2017,texcalyacac,octubre,0.0,82,5736,10.09,0.0
mexico,15098,2018,texcalyacac,octubre,0.0,94,5736,10.09,0.0
mexico,15098,2019,texcalyacac,octubre,0.0,106,5736,10.09,0.0
mexico,15099,2011,texcoco,octubre,5.0,10,277562,10.52,1.8013993269972115
mexico,15099,2012,texcoco,octubre,5.0,22,277562,10.52,1.8013993269972115
mexico,15099,2013,texcoco,octubre,1.0,34,277562,10.52,0.3602798653994423
mexico,15099,2014,texcoco,octubre,3.0,46,277562,10.52,1.0808395961983268
mexico,15099,2015,texcoco,octubre,9.0,58,277562,10.52,3.242518788594981
mexico,15099,2016,texcoco,octubre,4.0,70,277562,10.52,1.4411194615977692
mexico,15099,2017,texcoco,octubre,3.0,82,277562,10.52,1.0808395961983268
mexico,15099,2018,texcoco,octubre,8.0,94,277562,10.52,2.8822389231955383
mexico,15099,2019,texcoco,octubre,10.0,106,277562,10.52,3.602798653994423
mexico,15100,2011,tezoyuca,octubre,0.0,10,47044,9.3,0.0
mexico,15100,2012,tezoyuca,octubre,5.0,22,47044,9.3,10.628347929597822
mexico,15100,2013,tezoyuca,octubre,2.0,34,47044,9.3,4.251339171839129
mexico,15100,2014,tezoyuca,octubre,0.0,46,47044,9.3,0.0
mexico,15100,2015,tezoyuca,octubre,0.0,58,47044,9.3,0.0
mexico,15100,2016,tezoyuca,octubre,2.0,70,47044,9.3,4.251339171839129
mexico,15100,2017,tezoyuca,octubre,3.0,82,47044,9.3,6.377008757758694
mexico,15100,2018,tezoyuca,octubre,0.0,94,47044,9.3,0.0
mexico,15100,2019,tezoyuca,octubre,0.0,106,47044,9.3,0.0
mexico,15101,2011,tianguistenco,octubre,0.0,10,84259,9.74,0.0
mexico,15101,2012,tianguistenco,octubre,0.0,22,84259,9.74,0.0
mexico,15101,2013,tianguistenco,octubre,2.0,34,84259,9.74,2.373633677114611
mexico,15101,2014,tianguistenco,octubre,2.0,46,84259,9.74,2.373633677114611
mexico,15101,2015,tianguistenco,octubre,2.0,58,84259,9.74,2.373633677114611
mexico,15101,2016,tianguistenco,octubre,0.0,70,84259,9.74,0.0
mexico,15101,2017,tianguistenco,octubre,0.0,82,84259,9.74,0.0
mexico,15101,2018,tianguistenco,octubre,0.0,94,84259,9.74,0.0
mexico,15101,2019,tianguistenco,octubre,1.0,106,84259,9.74,1.1868168385573055
mexico,15102,2011,timilpan,octubre,0.0,10,16414,8.68,0.0
mexico,15102,2012,timilpan,octubre,0.0,22,16414,8.68,0.0
mexico,15102,2013,timilpan,octubre,0.0,34,16414,8.68,0.0
mexico,15102,2014,timilpan,octubre,1.0,46,16414,8.68,6.092360180333861
mexico,15102,2015,timilpan,octubre,0.0,58,16414,8.68,0.0
mexico,15102,2016,timilpan,octubre,0.0,70,16414,8.68,0.0
mexico,15102,2017,timilpan,octubre,0.0,82,16414,8.68,0.0
mexico,15102,2018,timilpan,octubre,0.0,94,16414,8.68,0.0
mexico,15102,2019,timilpan,octubre,0.0,106,16414,8.68,0.0
mexico,15103,2011,tlalmanalco,octubre,2.0,10,49196,10.5,4.065371168387674
mexico,15103,2012,tlalmanalco,octubre,2.0,22,49196,10.5,4.065371168387674
mexico,15103,2013,tlalmanalco,octubre,1.0,34,49196,10.5,2.032685584193837
mexico,15103,2014,tlalmanalco,octubre,2.0,46,49196,10.5,4.065371168387674
mexico,15103,2015,tlalmanalco,octubre,0.0,58,49196,10.5,0.0
mexico,15103,2016,tlalmanalco,octubre,1.0,70,49196,10.5,2.032685584193837
mexico,15103,2017,tlalmanalco,octubre,1.0,82,49196,10.5,2.032685584193837
mexico,15103,2018,tlalmanalco,octubre,2.0,94,49196,10.5,4.065371168387674
mexico,15103,2019,tlalmanalco,octubre,2.0,106,49196,10.5,4.065371168387674
mexico,15104,2011,tlalnepantla de baz,octubre,3.0,10,672202,10.93,0.4462944174518969
mexico,15104,2012,tlalnepantla de baz,octubre,8.0,22,672202,10.93,1.1901184465383918
mexico,15104,2013,tlalnepantla de baz,octubre,32.0,34,672202,10.93,4.760473786153567
